id_zuiveringsinstallatie;rwzi;date_column;waterlevel;storm;temperature;rainfall;populationserved;industrialdischarge;pumpefficiency;maintenancedays;energysource;peakload;groundwaterusage;systemage;energyusage_kwh;displayfieldname;fieldaliases;fields;objectid;zrwident;zui_zpiident;zrwnaam;zrwdatin;zrwdatui;globalid;iws_eigenaar;latitude;longitude;zrwverkort;oc_ie;oc_max;oc_ie_bzv;straat;plaats;nummer;postcode;regio;zrw_type;zrwstatus;opmerkingen
0301;RWZI_1;2024-12-09;2.78;No;34.8;10.55;17210;95.15;0.99;6;Non-Renewable;2.98;0.83;32;1115.47;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783047;ZAR_;0301;RWZI Arnhem;978307200000;NULL;{a3817c39-1686-42f4-b785-d2eb96308b20};Waterschap;51.966499;5.855861;111;206000.0;6400.0;165000.0;Drielsedijk;Arnhem;25;6841HJ;2;3;2;NULL
0401;RWZI_2;2024-12-09;1.51;Yes;22.1;38.06;21861;33.07;0.94;3;Non-Renewable;2.95;6.62;49;1206.67;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783057;ZAS_;0401;RWZI Asperen;63072000000;NULL;{f407f749-eba8-41a6-b0c2-7e7f41d85a7d};Waterschap;51.8838;5.111042;443;8500.0;400.0;7000.0;3e industrieweg;Asperen;9;4147CV;4;3;2;NULL
0501;RWZI_3;2024-12-09;4.54;No;8.0;38.09;39636;67.95;0.72;5;Renewable;2.99;11.11;47;1418.72;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783067;ZBD_;0501;RWZI Beesd;536457600000;NULL;{8f62343a-444c-4fa8-ab8e-b4658456d439};Waterschap;51.897257;5.169752;442;9000.0;350.0;7500.0;Dr. A. Kuyperweg;Beesd;80;4153XB;4;3;2;nabij Dr. A. Kuyperweg 120
0601;RWZI_4;2024-12-09;1.31;No;21.7;38.01;2487;70.49;0.94;6;Renewable;2.07;0.83;9;534.33;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783077;ZBE_;0601;RWZI Bergharen;189302400000;NULL;{87dd79bd-5b98-405c-b8fe-5918cc6ca0dc};Waterschap;51.846096;5.643183;663;12000.0;300.0;10000.0;Oude Schaarsestraat;Bergharen;2;6617KE;3;3;2;NULL
0701;RWZI_5;2024-12-09;1.36;No;4.3;8.96;41921;72.48;1.0;4;Non-Renewable;1.29;0.57;13;1447.14;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783087;ZCU_;0701;RWZI Culemborg;852076800000;NULL;{75865d15-9c33-4c29-84c4-636205b88bcc};Waterschap;51.938822;5.235746;341;47500.0;2200.0;37500.0;Parallelweg Oost;Culemborg;23a;4103ND;4;3;2;NULL
0801;RWZI_6;2024-12-09;4.36;Yes;23.2;3.8;33093;40.4;0.77;3;Non-Renewable;0.69;19.04;22;1682.15;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783097;ZDO_;0801;RWZI Dodewaard;1577836800000;NULL;{9bcf5ebf-31de-44ff-97df-c2678f61cdb6};Waterschap;51.920539;5.634275;221;70000.0;2728.0;22500.0;Appelenburgseveldweg;Dodewaard;2;6669CX;2;3;2;NULL
0901;RWZI_7;2024-12-09;3.62;Yes;25.6;11.8;20612;63.47;0.96;2;Non-Renewable;1.12;13.19;13;1412.18;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783107;ZDL_;0901;RWZI Dreumel;788918400000;NULL;{063b9028-ea68-4d3e-a282-6d35636f6827};Waterschap;51.828397;5.439097;661;9000.0;380.0;7500.0;Kooiweg;Dreumel;3;6621KX;3;3;2;NULL
1001;RWZI_8;2024-12-09;1.55;No;16.9;13.65;44059;97.22;0.8;6;Renewable;2.78;8.96;10;1397.84;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783117;ZDR_;1001;RWZI Druten;852076800000;NULL;{11401b15-0768-4b46-9f43-bfb81a97e27d};Waterschap;51.892275;5.592108;666;44000.0;1700.0;35000.0;Heersweg;Druten;29;6651BP;3;3;2;NULL
1401;RWZI_9;2024-12-09;2.65;No;29.7;33.27;37977;94.79;0.72;1;Non-Renewable;1.15;8.28;16;1761.35;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783147;ZGE_;1401;RWZI Geldermalsen;1293840000000;NULL;{b4d10cf4-0b83-448b-acb4-c8a8d4b126b6};Waterschap;51.886852;5.276563;431;36000.0;1575.0;25000.0;Trichtsevoetpad;Geldermalsen;4;4191LA;4;3;2;NULL
1501;RWZI_10;2024-12-09;2.29;Yes;-4.8;46.07;30806;74.06;0.78;7;Renewable;2.37;18.07;19;1505.87;ZRW_TYPE_OUD;{ globalid:GLOBALID iws_eigenaar:Eigenaar latitude:Latitude longitude:Longitude nummer:Huisnummer objectid:OBJECTID oc_ie:Ontwerpcapaciteit IE, 150TZV oc_ie_bzv:Ontwerpcapaciteit IE, 54BZV oc_max:Ontwerpcapaciteit m3/h opmerkingen:Opmerkingen plaats:Plaats postcode:Postcode regio:Regio straat:Straat zrw_type:RWZI type zrwdatin:Datum in bedrijf zrwdatui:Datum uit bedrijf zrwident:Code zrwnaam:Naam RWZI zrwstatus:Status zrwverkort:Verkorte naam zui_zpiident:ID Zuiveringsinstallatie};{ { alias:OBJECTID name:OBJECTID type:esriFieldTypeOID} { alias:Code length:24 name:ZRWIDENT type:esriFieldTypeString} { alias:ID Zuiveringsinstallatie length:24 name:ZUI_ZPIIDENT type:esriFieldTypeString} { alias:Naam RWZI length:50 name:ZRWNAAM type:esriFieldTypeString} { alias:Datum in bedrijf length:8 name:ZRWDATIN type:esriFieldTypeDate} { alias:Datum uit bedrijf length:8 name:ZRWDATUI type:esriFieldTypeDate} { alias:Opmerkingen length:255 name:OPMERKINGEN type:esriFieldTypeString} { alias:GLOBALID length:38 name:GLOBALID type:esriFieldTypeGlobalID} { alias:Eigenaar length:255 name:IWS_EIGENAAR type:esriFieldTypeString} { alias:Latitude name:LATITUDE type:esriFieldTypeDouble} { alias:Longitude name:LONGITUDE type:esriFieldTypeDouble} { alias:Verkorte naam length:10 name:ZRWVERKORT type:esriFieldTypeString} { alias:Ontwerpcapaciteit IE, 150TZV name:OC_IE type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit m3/h name:OC_MAX type:esriFieldTypeDouble} { alias:Ontwerpcapaciteit IE, 54BZV name:OC_IE_BZV type:esriFieldTypeDouble} { alias:Straat length:150 name:STRAAT type:esriFieldTypeString} { alias:Plaats length:50 name:PLAATS type:esriFieldTypeString} { alias:Huisnummer length:10 name:NUMMER type:esriFieldTypeString} { alias:Postcode length:6 name:POSTCODE type:esriFieldTypeString} { alias:Regio name:REGIO type:esriFieldTypeInteger} { alias:RWZI type name:ZRW_TYPE type:esriFieldTypeInteger} { alias:Status name:ZRWSTATUS type:esriFieldTypeInteger}};16783157;ZGT_;1501;RWZI Gendt;694224000000;NULL;{3845fb1d-c495-4802-bce9-e5f24f256cfc};Waterschap;51.87234;5.944488;113;42000.0;1500.0;35000.0;Mekrisveld;Gendt;1;6691MN;2;3;2;NULL
